id,name_english,name_japanese,name_chinese,name_french,types,species,description,hp,attack,defense,special_attack,special_defense,speed,total_stats,height,weight,egg_groups,abilities,hidden_ability,gender_ratio,evolution_previous,evolution_next,sprite_url,thumbnail_url,hires_url,name_thai
14,Kakuna,コクーン,铁壳蛹,Coconfort,"Bug, Poison",Cocoon Pokémon,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",45,25,50,25,25,35,205,0.6 m,10 kg,Bug,Shed Skin,,50:50,"['13', 'Level 7']",15(Level 10),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/014.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/014.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/014.png,โคคูน
15,Beedrill,スピアー,大针蜂,Dardargnan,"Bug, Poison",Poison Bee Pokémon,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",65,90,40,45,80,75,395,1 m,29.5 kg,Bug,Swarm,Sniper,50:50,"['14', 'Level 10']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/015.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/015.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/015.png,สเปียร์
16,Pidgey,ポッポ,波波,Roucool,"Normal, Flying",Tiny Bird Pokémon,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",40,45,40,35,35,56,251,0.3 m,1.8 kg,Flying,"Keen Eye, Tangled Feet",Big Pecks,50:50,,17(Level 18),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/016.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/016.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/016.png,ป๊อปโปะ
17,Pidgeotto,ピジョン,比比鸟,Roucoups,"Normal, Flying",Bird Pokémon,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",63,60,55,50,50,71,349,1.1 m,30 kg,Flying,"Keen Eye, Tangled Feet",Big Pecks,50:50,"['16', 'Level 18']",18(Level 36),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/017.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/017.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/017.png,ปิเจอน
18,Pidgeot,ピジョット,大比鸟,Roucarnage,"Normal, Flying",Bird Pokémon,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",83,80,75,70,70,101,479,1.5 m,39.5 kg,Flying,"Keen Eye, Tangled Feet",Big Pecks,50:50,"['17', 'Level 36']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/018.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/018.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/018.png,ปิเจ็คโตะ
19,Rattata,コラッタ,小拉达,Rattata,Normal,Mouse Pokémon,This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.,30,56,35,25,35,72,253,0.3 m,3.5 kg,Field,"Run Away, Guts",Hustle,50:50,,20(Level 20),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/019.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/019.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/019.png,โครัตตา
20,Raticate,ラッタ,拉达,Rattatac,Normal,Mouse Pokémon,"Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers.",55,81,60,50,70,97,413,0.7 m,18.5 kg,Field,"Run Away, Guts",Hustle,50:50,"['19', 'Level 20']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/020.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/020.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/020.png,รัตตา
21,Spearow,オニスズメ,烈雀,Piafabec,"Normal, Flying",Tiny Bird Pokémon,"Due to its short wings, it can’t fly long distances. It wanders about restlessly and pecks at bug Pokémon.",40,60,30,31,31,70,262,0.3 m,2 kg,Flying,Keen Eye,Sniper,50:50,,22(Level 20),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/021.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/021.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/021.png,โอนิซึซึเมะ
22,Fearow,オニドリル,大嘴雀,Rapasdepic,"Normal, Flying",Beak Pokémon,"In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food.",65,90,65,61,61,100,442,1.2 m,38 kg,Flying,Keen Eye,Sniper,50:50,"['21', 'Level 20']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/022.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/022.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/022.png,โอนิโดริล
23,Ekans,アーボ,阿柏蛇,Abo,Poison,Snake Pokémon,"The eggs of bird Pokémon are its favorite food. It swallows eggs whole, so sometimes an egg gets stuck, and Ekans faints.",35,60,44,40,54,55,288,2 m,6.9 kg,"Field, Dragon","Intimidate, Shed Skin",Unnerve,50:50,,24(Level 22),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/023.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/023.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/023.png,อาโบ
24,Arbok,アーボック,阿柏怪,Arbok,Poison,Cobra Pokémon,"After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving.",60,95,69,65,79,80,448,3.5 m,65 kg,"Field, Dragon","Intimidate, Shed Skin",Unnerve,50:50,"['23', 'Level 22']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/024.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/024.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/024.png,อาโบคค์
25,Pikachu,ピカチュウ,皮卡丘,Pikachu,Electric,Mouse Pokémon,"While sleeping, it generates electricity in the sacs in its cheeks. If it’s not getting enough sleep, it will be able to use only weak electricity.",35,55,40,50,50,90,320,0.4 m,6 kg,"Field, Fairy",Static,Lightning Rod,50:50,"['172', 'high Friendship']",26(use Thunder Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/025.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/025.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/025.png,ปิกาจู
26,Raichu,ライチュウ,雷丘,Raichu,Electric,Mouse Pokémon,"Because so many Trainers like the way Pikachu looks, you don’t see this Pokémon very often.",60,90,55,90,80,110,485,0.8 m,30 kg,"Field, Fairy",Static,Lightning Rod,50:50,"['25', 'use Thunder Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/026.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/026.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/026.png,ไรจู
27,Sandshrew,サンド,穿山鼠,Sabelette,Ground,Mouse Pokémon,"When its skin gets wrinkled from moisture, it heads for a volcano. It lies flat on a spot with a lot of geothermal heat and dries itself out.",50,75,85,20,30,40,300,0.6 m,12 kg,Field,Sand Veil,Sand Rush,50:50,,28(Level 22),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/027.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/027.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/027.png,แซนด์
28,Sandslash,サンドパン,穿山王,Sablaireau,Ground,Mouse Pokémon,"Thanks to its thick claws, it’s good at climbing trees. There are plenty of Sandslash that park themselves in trees and go right to sleep.",75,100,110,45,55,65,450,1 m,29.5 kg,Field,Sand Veil,Sand Rush,50:50,"['27', 'Level 22']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/028.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/028.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/028.png,แซนด์แพน
29,Nidoran♀,ニドラン♀,尼多兰,Nidoran♀,Poison,Poison Pin Pokémon,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.",55,47,52,40,40,41,275,0.4 m,7 kg,"Monster, Field","Poison Point, Rivalry",Hustle,0:100,,30(Level 16),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/029.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/029.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/029.png,นิโดรัน
30,Nidorina,ニドリーナ,尼多娜,Nidorina,Poison,Poison Pin Pokémon,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",70,62,67,55,55,56,365,0.8 m,20 kg,Undiscovered,"Poison Point, Rivalry",Hustle,0:100,"['29', 'Level 16']",31(use Moon Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/030.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/030.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/030.png,นิโดรีนา
31,Nidoqueen,ニドクイン,尼多后,Nidoqueen,"Poison, Ground",Drill Pokémon,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,90,92,87,75,85,76,505,1.3 m,60 kg,Undiscovered,"Poison Point, Rivalry",Sheer Force,0:100,"['30', 'use Moon Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/031.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/031.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/031.png,นิโดควีน
32,Nidoran♂,ニドラン♂,尼多朗,Nidoran♂,Poison,Poison Pin Pokémon,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice.",46,57,40,40,40,50,273,0.5 m,9 kg,"Monster, Field","Poison Point, Rivalry",Hustle,100:0,,33(Level 16),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/032.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/032.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/032.png,นิโดรัน
33,Nidorino,ニドリーノ,尼多力诺,Nidorino,Poison,Poison Pin Pokémon,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",61,72,57,55,55,65,365,0.9 m,19.5 kg,"Monster, Field","Poison Point, Rivalry",Hustle,100:0,"['32', 'Level 16']",34(use Moon Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/033.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/033.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/033.png,นิโดริโน่
34,Nidoking,ニドキング,尼多王,Nidoking,"Poison, Ground",Drill Pokémon,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",81,102,77,85,75,85,505,1.4 m,62 kg,"Monster, Field","Poison Point, Rivalry",Sheer Force,100:0,"['33', 'use Moon Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/034.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/034.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/034.png,นิโดคิง
35,Clefairy,ピッピ,皮皮,Mélofée,Fairy,Fairy Pokémon,"Bathed in moonlight, its wings glow faintly. Without even flapping, Clefairy rises into the air, where it dances around.",70,45,48,60,65,35,323,0.6 m,7.5 kg,Fairy,"Cute Charm, Magic Guard",Friend Guard,25:75,"['173', 'high Friendship']",36(use Moon Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/035.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/035.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/035.png,ปิ๊ปปี้
36,Clefable,ピクシー,皮可西,Mélodelfe,Fairy,Fairy Pokémon,Some scientists believe that it gazes intently at the sky on nights with a full moon because it’s homesick.,95,70,73,95,90,60,483,1.3 m,40 kg,Fairy,"Cute Charm, Magic Guard",Unaware,25:75,"['35', 'use Moon Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/036.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/036.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/036.png,ปิกซี
37,Vulpix,ロコン,六尾,Goupix,Fire,Fox Pokémon,"It manipulates balls of fire to catch its prey. If you raise one from when it’s young, it will grow close to you like a puppy Pokémon.",38,41,40,50,65,65,299,0.6 m,9.9 kg,Field,Flash Fire,Drought,25:75,,38(use Fire Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/037.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/037.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/037.png,โรคอน
38,Ninetales,キュウコン,九尾,Feunard,Fire,Fox Pokémon,"The flickering flames it spews from its mouth leave its opponents hypnotized. Then, this extremely intelligent Pokémon attacks.",73,76,75,81,100,100,505,1.1 m,19.9 kg,Field,Flash Fire,Drought,25:75,"['37', 'use Fire Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/038.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/038.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/038.png,คิวคอน
39,Jigglypuff,プリン,胖丁,Rondoudou,"Normal, Fairy",Balloon Pokémon,The songs they sing are totally different depending on the region they live in. Some even sound like they’re shouting!,115,45,20,45,25,20,270,0.5 m,5.5 kg,Fairy,"Cute Charm, Competitive",Friend Guard,25:75,"['174', 'high Friendship']",40(use Moon Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/039.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/039.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/039.png,ปุริน
40,Wigglytuff,プクリン,胖可丁,Grodoudou,"Normal, Fairy",Balloon Pokémon,"When it gets angry, it inhales with all its might, and its body gradually inflates. Sometimes they can grow 20 times larger!",140,70,45,85,50,45,435,1 m,12 kg,Fairy,"Cute Charm, Competitive",Frisk,25:75,"['39', 'use Moon Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/040.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/040.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/040.png,ปุคุริน
41,Zubat,ズバット,超音蝠,Nosferapti,"Poison, Flying",Bat Pokémon,"Their skin is so thin that they’ll be burned if sunlight hits them. When it gets cold out, they gather together to warm one another’s bodies.",40,45,35,30,40,55,245,0.8 m,7.5 kg,Flying,Inner Focus,Infiltrator,50:50,,42(Level 22),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/041.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/041.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/041.png,ซูแบท
42,Golbat,ゴルバット,大嘴蝠,Nosferalto,"Poison, Flying",Bat Pokémon,They can suck down over 10 ounces of blood in one go. They have been known to drink so much blood that they can no longer fly.,75,80,70,65,75,90,455,1.6 m,55 kg,Flying,Inner Focus,Infiltrator,50:50,"['41', 'Level 22']",169(high Friendship),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/042.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/042.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/042.png,โกลแบท
43,Oddish,ナゾノクサ,走路草,Mystherbe,"Grass, Poison",Weed Pokémon,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",45,50,55,75,65,30,320,0.5 m,5.4 kg,Grass,Chlorophyll,Run Away,50:50,,44(Level 21),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/043.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/043.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/043.png,นาโซโนกุสะ
44,Gloom,クサイハナ,臭臭花,Ortide,"Grass, Poison",Weed Pokémon,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",60,65,70,85,75,40,395,0.8 m,8.6 kg,Grass,Chlorophyll,Stench,50:50,"['43', 'Level 21']","45(use Leaf Stone), 182(use Sun Stone)",https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/044.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/044.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/044.png,คุไซฮานะ
